x_spline,y_spline,y_spline_smoothed
5.018007428630236063e+03,3.140983104477112988e+02,3.291486567862748984e+02
5.046040989684036504e+03,3.167379851844195287e+02,3.320134915348510845e+02
5.074074550737836944e+03,3.196641271682903493e+02,3.348818730081204080e+02
5.102108111791636475e+03,3.232048509331832520e+02,3.377534562252723731e+02
5.130141672845436915e+03,3.267468382624545598e+02,3.406278969237029060e+02
5.158175233899237355e+03,3.295408366553926385e+02,3.435048447287145450e+02
5.186208794953037795e+03,3.324805164638971178e+02,3.463839520639578495e+02
5.214242356006837326e+03,3.353127227402316066e+02,3.492648702989479830e+02
5.242275917060637767e+03,3.394545990525193702e+02,3.521472346828121545e+02
5.270309478114438207e+03,3.452237792120401423e+02,3.550306827437575521e+02
5.298343039168238647e+03,3.510399865133377375e+02,3.579148487189329444e+02
5.326376600222038178e+03,3.566718206481320408e+02,3.607993715320544652e+02
5.354410161275838618e+03,3.618444239684576473e+02,3.636838823276144126e+02
5.382443722329639058e+03,3.675120115127067493e+02,3.665680081657912979e+02
5.410477283383438589e+03,3.732537353941990546e+02,3.694513731564567820e+02
5.438510844437239030e+03,3.781676639894058667e+02,3.723335984730456971e+02
5.466544405491039470e+03,3.828456576433483178e+02,3.752143070972016972e+02
5.494577966544839910e+03,3.887306638862349359e+02,3.780931239217101165e+02
5.522611527598639441e+03,3.947931446133924283e+02,3.809696791604322357e+02
5.550645088652439881e+03,3.998863840276924861e+02,3.838435984703020267e+02
5.578678649706240321e+03,4.045588203102382181e+02,3.867145101967524852e+02
5.606712210760040762e+03,4.093208406762784080e+02,3.895820422529289999e+02
5.634745771813840292e+03,4.145266964121786373e+02,3.924458318789250484e+02
5.662779332867640733e+03,4.198719415459651714e+02,3.953055149227864717e+02
5.690812893921441173e+03,4.252949424228864359e+02,3.981607227999583074e+02
5.718846454975241613e+03,4.308923173007833043e+02,4.010110913381858495e+02
5.746880016029041144e+03,4.355512054563192805e+02,4.038562566276869461e+02
5.774913577082841584e+03,4.397217721980775309e+02,4.066958616821690953e+02
5.802947138136642025e+03,4.434486083922286639e+02,4.095295479060940806e+02
5.830980699190442465e+03,4.455980218839009126e+02,4.123569617764688928e+02
5.859014260244241996e+03,4.461991688747555145e+02,4.151777522149496349e+02
5.887047821298042436e+03,4.441833464885626199e+02,4.179915733435550464e+02
5.915081382351842876e+03,4.419489010509740865e+02,4.207980845039697329e+02
